unique_id,ds,y,volume
ethereum,2024-10-25,2536.234041319884,16708110976.636312
ethereum,2024-10-26,2422.09328922875,23734197478.80744
ethereum,2024-10-27,2479.373603244332,13434262241.34632
ethereum,2024-10-28,2505.502947138879,8656317174.654642
ethereum,2024-10-29,2564.8138556783,19560694034.694
ethereum,2024-10-30,2638.637351278122,22541317733.245987
ethereum,2024-10-31,2657.6141818494384,22790792400.86356
ethereum,2024-11-01,2514.750787241073,20097565241.562813
ethereum,2024-11-02,2513.8372870612066,20396109310.40712
ethereum,2024-11-03,2491.352150058657,8253307127.229915
ethereum,2024-11-04,2456.979687344711,14546539750.496365
ethereum,2024-11-05,2395.9472139132804,17316680977.698635
ethereum,2024-11-06,2422.368479855642,18024855703.904736
ethereum,2024-11-07,2720.62174500688,42388106411.06861
ethereum,2024-11-08,2894.9718733838376,36844374455.9351
ethereum,2024-11-09,2960.9593369382137,33688997426.40259
ethereum,2024-11-10,3130.035524073996,30583711140.36284
ethereum,2024-11-11,3191.904455551816,47726595161.32535
ethereum,2024-11-12,3372.7914863430115,62390436438.24982
ethereum,2024-11-13,3260.934386131155,60074013245.45247
ethereum,2024-11-14,3191.8991843987947,65592582441.25777
ethereum,2024-11-15,3059.812296932496,37531565153.5352
ethereum,2024-11-16,3093.913043390382,33076552515.401417
ethereum,2024-11-17,3133.8802234191417,26503107468.25979
ethereum,2024-11-18,3075.534532601624,28547657381.28478
ethereum,2024-11-19,3209.4239073326826,35364731417.99857
ethereum,2024-11-20,3112.9098010150224,29767245881.040333
ethereum,2024-11-21,3075.193856649331,29508936260.346874
ethereum,2024-11-22,3365.9369715466096,55714132904.97961
ethereum,2024-11-23,3327.7571951719624,36536922518.79305
ethereum,2024-11-24,3394.036961782547,42885423857.47691
ethereum,2024-11-25,3368.7027619429946,30123422893.99126
ethereum,2024-11-26,3417.291223691937,53625394443.87371
ethereum,2024-11-27,3325.636532587645,41896722105.13149
ethereum,2024-11-28,3666.188490437756,48465294233.32744
ethereum,2024-11-29,3579.2407862475,33082767875.13153
ethereum,2024-11-30,3598.1933212253616,28800628431.21762
ethereum,2024-12-01,3709.9094391073327,31961998508.230377
ethereum,2024-12-02,3708.8072387383017,29705280034.45904
ethereum,2024-12-03,3643.855375704235,49031522663.40944
ethereum,2024-12-04,3625.71045794972,39557549415.34987
ethereum,2024-12-05,3839.443460715871,59744855714.19937
ethereum,2024-12-06,3796.868867160128,64995601294.502495
ethereum,2024-12-07,4013.726145388712,55954471926.67034
ethereum,2024-12-08,4000.992076502189,21959792763.543846
ethereum,2024-12-09,4015.7820212328807,20728146237.12733
ethereum,2024-12-10,3713.313897997175,59141397866.09827
ethereum,2024-12-11,3626.5886417775,63643513993.15369
ethereum,2024-12-12,3828.1075883404096,38471623681.40909
ethereum,2024-12-13,3878.850012073054,47474608675.336655
ethereum,2024-12-14,3907.429659505336,36218321642.49857
ethereum,2024-12-15,3866.995802034805,28647722345.409325
ethereum,2024-12-16,3961.315466180232,24816850994.80954
ethereum,2024-12-17,3992.857195846062,50679799770.94302
ethereum,2024-12-18,3879.406224010089,32823036037.584606
ethereum,2024-12-19,3628.2624780444953,50734709374.83128
ethereum,2024-12-20,3434.6754695380805,64452959600.86389
ethereum,2024-12-21,3468.658920056454,72936574193.4554
ethereum,2024-12-22,3337.5972231166807,32479699770.041058
ethereum,2024-12-23,3275.8894274015142,25811397925.979923
ethereum,2024-12-24,3414.6414419808,35528067791.09896
ethereum,2024-12-25,3497.555287927574,24085249644.32143
ethereum,2024-12-26,3494.5109273631047,17503804977.00058
ethereum,2024-12-27,3327.7897761683494,21239977785.94795
ethereum,2024-12-28,3328.6111553091764,24582312087.17412
ethereum,2024-12-29,3397.834120508516,13861298668.649796
ethereum,2024-12-30,3357.330742971463,11315432322.371536
ethereum,2024-12-31,3359.513941757392,27664137021.813133
ethereum,2025-01-01,3336.6175137659498,21466394178.61746
ethereum,2025-01-02,3348.967247123586,13440599794.35101
ethereum,2025-01-03,3448.140436960939,22683249623.05199
ethereum,2025-01-04,3604.291379593176,22019312215.3068
ethereum,2025-01-05,3660.37804173532,15951962220.78043
ethereum,2025-01-06,3635.854996180709,12542101206.558632
ethereum,2025-01-07,3687.144714058831,24440100572.59286
ethereum,2025-01-08,3380.0211263090155,32832589510.813023
ethereum,2025-01-09,3325.130029353736,35080974963.72023
ethereum,2025-01-10,3219.09284475812,30096896683.04124
ethereum,2025-01-11,3269.1759954060667,26722437003.95787
ethereum,2025-01-12,3283.591322828503,11047744222.743229
ethereum,2025-01-13,3264.070968533687,9699706283.25854
ethereum,2025-01-14,3134.5520394596483,41743898872.017
ethereum,2025-01-15,3224.8006483414138,22365842880.809456
ethereum,2025-01-16,3447.034047674796,23773995063.82853
ethereum,2025-01-17,3309.44661399002,25012556602.905136
ethereum,2025-01-18,3477.284285084809,27778832363.7708
ethereum,2025-01-19,3309.0995676199964,32195594202.13489
ethereum,2025-01-20,3208.1365439891497,59678736709.7496
ethereum,2025-01-21,3263.069869880814,49563768850.78339
ethereum,2025-01-22,3326.0285404709143,33762939512.697853
ethereum,2025-01-23,3237.2996671291435,21782301388.383984
ethereum,2025-01-24,3332.580893146162,33863218042.431107
ethereum,2025-01-25,3311.8499838687,25895320216.86812
ethereum,2025-01-26,3320.1314101789453,12706329663.414034
ethereum,2025-01-27,3232.2767744705584,13000445022.22209
ethereum,2025-01-28,3173.5346079397173,41151086046.07612
ethereum,2025-01-29,3076.4937692857234,19807794444.483303
ethereum,2025-01-30,3114.4358854363104,22051422147.78046
ethereum,2025-01-31,3248.249484352305,19504592311.356525
ethereum,2025-02-01,3296.390634843652,31441846706.25425
ethereum,2025-02-02,3125.0386801320924,18969060074.552982
ethereum,2025-02-03,2862.6976188716285,38896518795.21238
ethereum,2025-02-04,2877.8138239498767,96588727629.45804
ethereum,2025-02-05,2740.3809762760143,52737830809.63367
ethereum,2025-02-06,2790.5521609256075,30026391038.27177
ethereum,2025-02-07,2686.662316793651,31349967107.97825
ethereum,2025-02-08,2623.4507017824767,30948837988.08186
ethereum,2025-02-09,2635.6011418023404,16335613332.591797
ethereum,2025-02-10,2632.5358220552475,17155535243.908035
ethereum,2025-02-11,2660.2967996436387,18843420567.42921
ethereum,2025-02-12,2603.0333698049267,21212910085.21128
ethereum,2025-02-13,2736.27031360324,26503660438.84569
ethereum,2025-02-14,2675.7090007037627,18938191215.29619
ethereum,2025-02-15,2724.669833587396,17416785872.704834
ethereum,2025-02-16,2692.8213863864253,8896321414.559013
ethereum,2025-02-17,2659.9017474093457,8757895115.47748
ethereum,2025-02-18,2741.9050800956124,24666373348.432693
ethereum,2025-02-19,2669.494500689608,24353300611.506603
ethereum,2025-02-20,2714.8018364720533,13398586820.912325
ethereum,2025-02-21,2741.5933625994785,14550027648.522173
ethereum,2025-02-22,2658.3470942919384,31770375573.3895
ethereum,2025-02-23,2764.355233404291,17576653979.14654
ethereum,2025-02-24,2827.1844084879804,21394599890.269897
ethereum,2025-02-25,2503.103420098605,31014455208.756138
ethereum,2025-02-26,2495.315451693047,42875934003.32394
ethereum,2025-02-27,2325.853934699374,28109120496.698666
ethereum,2025-02-28,2305.322937802984,89259450649.58
ethereum,2025-03-01,2235.204208608959,32905594283.00643
ethereum,2025-03-02,2212.8243514969954,16103021679.018568
ethereum,2025-03-03,2517.3382391622977,37907412347.33495
ethereum,2025-03-04,2148.199533470228,33501080617.480988
ethereum,2025-03-05,2171.496943535016,35524086282.76523
ethereum,2025-03-06,2241.3841149187283,22236307931.758247
ethereum,2025-03-07,2202.3207363495417,19895800679.328133
ethereum,2025-03-08,2140.7498089428914,21716710066.08888
ethereum,2025-03-09,2199.9995000805707,11257666715.795546
ethereum,2025-03-10,2017.265460184326,17577023963.685375
ethereum,2025-03-11,1879.1231054991024,36577317615.21765
ethereum,2025-03-12,1921.309922758704,30046602111.89385
ethereum,2025-03-13,1910.6551381032464,24499314730.70381
ethereum,2025-03-14,1862.7949366490388,19212414462.18156
ethereum,2025-03-15,1910.6662703455045,12949972214.265629
ethereum,2025-03-16,1939.7856881721348,6944891086.050841
ethereum,2025-03-17,1887.7643429692785,9486242392.181334
ethereum,2025-03-18,1929.183357761872,11251166846.249077
ethereum,2025-03-19,1932.7964059050653,10887619567.393353
ethereum,2025-03-20,2060.728601068271,20374739988.65224
ethereum,2025-03-21,1980.831780524645,14303790085.616615
ethereum,2025-03-22,1964.529383316829,9890112887.282017
ethereum,2025-03-23,1979.5449257665969,6195605844.536302
ethereum,2025-03-24,2001.0470230951885,7991413702.677865
ethereum,2025-03-25,2077.739325831977,15676451247.546822
ethereum,2025-03-26,2068.598435049149,12563169733.005243
ethereum,2025-03-27,2009.8835432902424,14024859854.906675
ethereum,2025-03-28,2003.3034241292064,12136188059.422691
ethereum,2025-03-29,1896.9173600459983,18419487648.39739
ethereum,2025-03-30,1829.2745211803465,12924117064.878807
ethereum,2025-03-31,1805.3378779435927,10056531345.160349
ethereum,2025-04-01,1824.207136760985,17022367813.88877
ethereum,2025-04-02,1907.1671522994227,15899367803.5509
ethereum,2025-04-03,1795.761850567479,23450470660.978283
ethereum,2025-04-04,1818.2844199542053,16999031833.158594
ethereum,2025-04-05,1814.4807753449504,19459233591.298603
ethereum,2025-04-06,1809.935827172196,6780827627.545529
ethereum,2025-04-07,1574.6321611455576,23485484227.161697
ethereum,2025-04-08,1555.909812570873,49416724296.56089
ethereum,2025-04-09,1471.3608854365525,22451028357.38476
ethereum,2025-04-10,1662.5331604641576,41589589714.84994
ethereum,2025-04-11,1523.928624242526,20486375929.10568
ethereum,2025-04-12,1568.131690125936,14195085224.783228
ethereum,2025-04-13,1645.8625733156498,11756571644.476357
ethereum,2025-04-14,1595.4227460001084,13775001676.60885
ethereum,2025-04-15,1621.543195596693,15415724739.820593
ethereum,2025-04-16,1587.82222440214,11786525215.180002
ethereum,2025-04-17,1577.7073516760115,13120084885.866234
ethereum,2025-04-18,1583.4764497002343,9437178720.867388
ethereum,2025-04-19,1589.1516208270757,5254078676.877919
ethereum,2025-04-20,1615.0502549158562,5148626529.402773
ethereum,2025-04-21,1585.4600253443446,6695768150.024456
ethereum,2025-04-22,1577.4465595922347,15275062279.387148
ethereum,2025-04-23,1759.7064599311093,24271980430.95098
ethereum,2025-04-24,1793.969849485534,22099177230.61867
ethereum,2025-04-25,1769.3925107354407,12923295609.972548
ethereum,2025-04-26,1788.7981804331257,15656748328.784924
ethereum,2025-04-27,1821.2695303291391,10293614895.776522
ethereum,2025-04-28,1793.6918440730135,9632458065.106846
ethereum,2025-04-29,1799.50191449199,16777384305.88931
ethereum,2025-04-30,1796.9720456768928,13994558644.11867
ethereum,2025-05-01,1794.0495408617828,13644627083.285889
ethereum,2025-05-02,1838.854328592576,14310565589.052694
ethereum,2025-05-03,1841.427590836958,11686301446.49476
ethereum,2025-05-04,1834.501911876416,6704990478.824657
ethereum,2025-05-05,1808.156093844096,7479845748.828526
ethereum,2025-05-06,1820.00445988936,10545233503.347864
ethereum,2025-05-07,1816.168694381844,11950393736.527246
ethereum,2025-05-08,1810.316926928448,47111217119.49919
ethereum,2025-05-09,2197.5611893238784,35992825075.05399
ethereum,2025-05-10,2341.407963002621,44566779461.54657
ethereum,2025-05-11,2583.682905142952,29947910159.02891
ethereum,2025-05-12,2507.4693107597423,26138286410.23315
ethereum,2025-05-13,2492.426391077375,31524626114.978752
ethereum,2025-05-14,2676.639163127913,32279895881.63781
ethereum,2025-05-15,2603.718088719961,28150234190.931705
ethereum,2025-05-16,2542.296692466797,26211434557.7159
ethereum,2025-05-17,2544.3870377235667,21130441534.96637
