unique_id,ds,y,volume
bitcoin,2024-10-25,68214.05205157402,35892606570.03549
bitcoin,2024-10-26,66585.66535501445,48426924850.053406
bitcoin,2024-10-27,67018.1650170265,21169467789.89267
bitcoin,2024-10-28,67938.55412885673,16533385730.434193
bitcoin,2024-10-29,69845.304531169,41990540384.96554
bitcoin,2024-10-30,72781.11308158132,65487782004.97014
bitcoin,2024-10-31,72342.62171127986,43498144313.67304
bitcoin,2024-11-01,70264.99735573279,45907074188.57015
bitcoin,2024-11-02,69507.92256395647,54863092261.31101
bitcoin,2024-11-03,69299.16036699413,14709379754.965973
bitcoin,2024-11-04,68803.50626277467,37659435506.75704
bitcoin,2024-11-05,67793.29782704762,46183110993.79166
bitcoin,2024-11-06,69335.42553133758,40025021601.49395
bitcoin,2024-11-07,75620.88606963192,128492534668.23853
bitcoin,2024-11-08,75987.24178320667,66590396087.4524
bitcoin,2024-11-09,76550.0213845611,50687468387.720375
bitcoin,2024-11-10,76630.22631415377,31430906055.796104
bitcoin,2024-11-11,80466.71654833542,93473126207.67863
bitcoin,2024-11-12,88637.42000322911,133959805308.72511
bitcoin,2024-11-13,88264.59974582895,152356811694.44943
bitcoin,2024-11-14,90488.10007497849,136046309843.60645
bitcoin,2024-11-15,87407.51273710128,99649391847.0836
bitcoin,2024-11-16,90947.97509443705,84382485697.84985
bitcoin,2024-11-17,90606.45489380708,49255174407.36877
bitcoin,2024-11-18,89841.47194135105,48556083101.64749
bitcoin,2024-11-19,90534.62459650292,77391724184.19348
bitcoin,2024-11-20,92251.65240738312,80493234958.49161
bitcoin,2024-11-21,94217.02229634204,80747272080.24826
bitcoin,2024-11-22,98509.11859102432,118163852022.3175
bitcoin,2024-11-23,98927.494945534,85746174563.98602
bitcoin,2024-11-24,97679.46381643032,47414200206.70341
bitcoin,2024-11-25,98015.9355289458,50665680246.86775
bitcoin,2024-11-26,93004.70093103289,89476321216.0935
bitcoin,2024-11-27,91931.83077291829,97389239315.52954
bitcoin,2024-11-28,95981.18057210564,81469353259.75
bitcoin,2024-11-29,95661.59595817851,49067932024.40325
bitcoin,2024-11-30,97453.2473451042,74670031635.5065
bitcoin,2024-12-01,96513.14234698223,43580019720.72064
bitcoin,2024-12-02,97311.70719084324,49147687432.565895
bitcoin,2024-12-03,95833.1362300365,101019861361.49252
bitcoin,2024-12-04,96031.63097759832,87935752287.975
bitcoin,2024-12-05,98881.4694561823,98230784298.0459
bitcoin,2024-12-06,97201.5003640774,190460293531.538
bitcoin,2024-12-07,99973.85150659826,115812632020.44765
bitcoin,2024-12-08,99781.82999198174,61061136199.7846
bitcoin,2024-12-09,101235.3717025316,62677764785.05408
bitcoin,2024-12-10,97353.94700820888,146846843211.51685
bitcoin,2024-12-11,96649.71446771533,125835977742.51114
bitcoin,2024-12-12,101123.61811033696,118484957960.76833
bitcoin,2024-12-13,100000.80836535196,100092043319.8122
bitcoin,2024-12-14,101352.22971292294,78802903278.85962
bitcoin,2024-12-15,101367.01064553364,57321924844.41535
bitcoin,2024-12-16,104721.50151808978,70645074624.52869
bitcoin,2024-12-17,106074.10723541168,115184737759.33566
bitcoin,2024-12-18,106034.913402645,93417826250.1972
bitcoin,2024-12-19,100355.5761481501,113692025885.44743
bitcoin,2024-12-20,97851.35377075804,100611554887.24124
bitcoin,2024-12-21,97691.43431692652,112340864006.62828
bitcoin,2024-12-22,97202.82496847631,53058382639.48845
bitcoin,2024-12-23,95094.27394862172,44619017105.36954
bitcoin,2024-12-24,94644.9108546432,64937790292.61125
bitcoin,2024-12-25,98695.714007826,49169088282.15742
bitcoin,2024-12-26,99344.95417367227,33963749856.44743
bitcoin,2024-12-27,95678.31244565404,45049342388.18843
bitcoin,2024-12-28,94331.94727053076,41498540807.66696
bitcoin,2024-12-29,95184.61945288602,22429850903.940086
bitcoin,2024-12-30,93663.44751964069,24065314499.50228
bitcoin,2024-12-31,92627.28213113276,57595164139.4709
bitcoin,2025-01-01,93507.85874741492,45327464907.74362
bitcoin,2025-01-02,94384.1761153871,23275007789.49633
bitcoin,2025-01-03,96852.14681235077,45157338602.61752
bitcoin,2025-01-04,98084.34279280754,35721645948.10051
bitcoin,2025-01-05,98256.73876849932,20979035420.9808
bitcoin,2025-01-06,98364.58946599838,20060293834.7155
bitcoin,2025-01-07,102229.39453189744,46111387334.46171
bitcoin,2025-01-08,96952.09886774956,60610257147.15405
bitcoin,2025-01-09,95016.71440989176,65790469838.34392
bitcoin,2025-01-10,92376.275783461,65850881574.76184
bitcoin,2025-01-11,94736.6267420969,63433655716.757095
bitcoin,2025-01-12,94559.55167224212,17836423168.41627
bitcoin,2025-01-13,94454.77089638809,19608932595.53299
bitcoin,2025-01-14,94456.3493746993,76328330233.31137
bitcoin,2025-01-15,96574.07768799194,51241728228.81719
bitcoin,2025-01-16,100313.15239828422,57637319739.5434
bitcoin,2025-01-17,100044.57926776377,50150102497.2729
bitcoin,2025-01-18,104160.69358484232,69135117732.00064
bitcoin,2025-01-19,104334.61575724394,49416447749.13053
bitcoin,2025-01-20,101275.33714814208,72970313683.92325
bitcoin,2025-01-21,101764.90860170544,120158523166.88388
bitcoin,2025-01-22,106182.2368201815,95344290057.8965
bitcoin,2025-01-23,103673.53509537788,55030669602.56557
bitcoin,2025-01-24,104067.60991206949,102455227371.2076
bitcoin,2025-01-25,104835.19253555956,51418786362.7815
bitcoin,2025-01-26,104796.04077738234,22740744964.719296
bitcoin,2025-01-27,102552.24874280208,20639818380.26942
bitcoin,2025-01-28,101958.46953745594,93191643783.2474
bitcoin,2025-01-29,101313.11264498268,45780526813.56264
bitcoin,2025-01-30,103718.97939813643,47425401641.53094
bitcoin,2025-01-31,104781.5135100103,42122570869.034325
bitcoin,2025-02-01,102382.39409722164,37187819228.35328
bitcoin,2025-02-02,100674.78762544956,22827776122.48367
bitcoin,2025-02-03,97568.31653024876,59784234332.21204
bitcoin,2025-02-04,101466.8606657039,122163969235.23686
bitcoin,2025-02-05,98118.43921664466,73196693057.98114
bitcoin,2025-02-06,96582.88682919052,48848958931.79228
bitcoin,2025-02-07,96635.41875332213,44462180396.17252
bitcoin,2025-02-08,96558.4563096667,57077722340.22422
bitcoin,2025-02-09,96558.23762501092,20760850644.84597
bitcoin,2025-02-10,96548.57865379583,25457107581.051964
bitcoin,2025-02-11,97399.98161383196,37054987393.57789
bitcoin,2025-02-12,95739.9773707924,36454577154.5622
bitcoin,2025-02-13,97836.18856127484,47115618235.19051
bitcoin,2025-02-14,96561.6639990985,29084371910.69056
bitcoin,2025-02-15,97488.48148536457,32289906944.92862
bitcoin,2025-02-16,97569.95169430463,14215311318.346336
bitcoin,2025-02-17,96149.3484548204,13634794998.739267
bitcoin,2025-02-18,95776.15723852724,25324374113.08163
bitcoin,2025-02-19,95495.89153299289,38311133144.72936
bitcoin,2025-02-20,96554.87156259285,27703222487.38957
bitcoin,2025-02-21,98384.31738240314,24175261969.81266
bitcoin,2025-02-22,96135.15541305284,42477472950.92155
bitcoin,2025-02-23,96564.15414290236,18464415570.762142
bitcoin,2025-02-24,96327.46309127836,16643044374.983364
bitcoin,2025-02-25,91396.76686930266,45539703844.38777
bitcoin,2025-02-26,88755.7693356979,96742453402.56294
bitcoin,2025-02-27,83900.11496524839,69277430795.68657
bitcoin,2025-02-28,84709.14477847965,81960688217.70384
bitcoin,2025-03-01,84441.9012237131,80695237175.07367
bitcoin,2025-03-02,86005.25629681018,30634474722.6359
bitcoin,2025-03-03,94261.5328653844,61859112550.80991
bitcoin,2025-03-04,86124.71418722175,68715362745.4567
bitcoin,2025-03-05,87310.80531078295,65863356680.42408
bitcoin,2025-03-06,90604.08098523636,51606642859.81411
bitcoin,2025-03-07,90001.40087607042,47555759124.64708
bitcoin,2025-03-08,86773.33597555371,63216440874.73251
bitcoin,2025-03-09,86142.9833586432,18809360803.37126
bitcoin,2025-03-10,80751.13893300897,32013406240.51754
bitcoin,2025-03-11,78783.94057934263,49983692766.22745
