unique_id,ds,yhat
bitcoin,2025-10-25,116326.96
bitcoin,2025-10-26,116048.164
bitcoin,2025-10-27,116263.49
bitcoin,2025-10-28,117074.25
bitcoin,2025-10-29,117331.79
bitcoin,2025-10-30,116869.05
bitcoin,2025-10-31,116870.28
bitcoin,2025-11-01,116679.05
bitcoin,2025-11-02,115595.67
bitcoin,2025-11-03,114396.63
bitcoin,2025-11-04,113708.734
bitcoin,2025-11-05,113763.66
bitcoin,2025-11-06,113491.79
bitcoin,2025-11-07,113199.01
bitcoin,2025-11-08,113877.36
bitcoin,2025-11-09,113962.21
bitcoin,2025-11-10,114522.445
bitcoin,2025-11-11,114936.12
bitcoin,2025-11-12,114898.12
bitcoin,2025-11-13,115232.65
bitcoin,2025-11-14,115409.15
bitcoin,2025-11-15,114880.91
bitcoin,2025-11-16,113658.3
bitcoin,2025-11-17,112405.36
bitcoin,2025-11-18,111672.62
bitcoin,2025-11-19,111896.91
bitcoin,2025-11-20,112388.31
bitcoin,2025-11-21,113036.92
bitcoin,2025-11-22,113551.39
bitcoin,2025-11-23,113864.46
