unique_id,ds,yhat
bitcoin,2025-10-25,108354.28
bitcoin,2025-10-26,107492.414
bitcoin,2025-10-27,106776.87
bitcoin,2025-10-28,107177.72
bitcoin,2025-10-29,108295.96
bitcoin,2025-10-30,108567.99
bitcoin,2025-10-31,108233.06
bitcoin,2025-11-01,107767.73
bitcoin,2025-11-02,108156.67
bitcoin,2025-11-03,108384.43
bitcoin,2025-11-04,108981.28
bitcoin,2025-11-05,110883.66
bitcoin,2025-11-06,113509.33
bitcoin,2025-11-07,115322.63
bitcoin,2025-11-08,116260.64
bitcoin,2025-11-09,116328.664
bitcoin,2025-11-10,116638.53
bitcoin,2025-11-11,116855.09
bitcoin,2025-11-12,117545.51
bitcoin,2025-11-13,117693.17
bitcoin,2025-11-14,116974.33
bitcoin,2025-11-15,116781.5
bitcoin,2025-11-16,117416.84
bitcoin,2025-11-17,118517.14
bitcoin,2025-11-18,118960.125
bitcoin,2025-11-19,118158.89
bitcoin,2025-11-20,117800.54
bitcoin,2025-11-21,117489.73
bitcoin,2025-11-22,117900.67
bitcoin,2025-11-23,117851.79
