unique_id,ds,yhat
litecoin,2025-10-26,85.05217
litecoin,2025-10-27,85.013275
litecoin,2025-10-28,84.583115
litecoin,2025-10-29,84.407715
litecoin,2025-10-30,84.43625
litecoin,2025-10-31,84.435776
litecoin,2025-11-01,84.416084
litecoin,2025-11-02,84.406555
litecoin,2025-11-03,84.31178
litecoin,2025-11-04,84.2594
litecoin,2025-11-05,84.27806
litecoin,2025-11-06,84.49464
litecoin,2025-11-07,84.380646
litecoin,2025-11-08,84.53175
litecoin,2025-11-09,84.533775
litecoin,2025-11-10,84.49115
litecoin,2025-11-11,85.179016
litecoin,2025-11-12,85.07677
litecoin,2025-11-13,85.73048
litecoin,2025-11-14,85.29257
litecoin,2025-11-15,84.69505
litecoin,2025-11-16,84.63154
litecoin,2025-11-17,84.8789
litecoin,2025-11-18,84.81675
litecoin,2025-11-19,84.74376
litecoin,2025-11-20,84.5395
litecoin,2025-11-21,84.35016
litecoin,2025-11-22,85.12475
litecoin,2025-11-23,85.34595
litecoin,2025-11-24,85.13005
