unique_id,ds,yhat
litecoin,2025-10-26,86.780106
litecoin,2025-10-27,84.80222
litecoin,2025-10-28,83.53112
litecoin,2025-10-29,84.84494
litecoin,2025-10-30,85.311615
litecoin,2025-10-31,85.39889
litecoin,2025-11-01,85.30958
litecoin,2025-11-02,85.246445
litecoin,2025-11-03,85.215065
litecoin,2025-11-04,85.1935
litecoin,2025-11-05,85.22993
litecoin,2025-11-06,85.71278
litecoin,2025-11-07,85.68079
litecoin,2025-11-08,85.46632
litecoin,2025-11-09,85.51105
litecoin,2025-11-10,85.54864
litecoin,2025-11-11,85.62353
litecoin,2025-11-12,85.70108
litecoin,2025-11-13,85.52573
litecoin,2025-11-14,85.4218
litecoin,2025-11-15,85.41956
litecoin,2025-11-16,85.34562
litecoin,2025-11-17,85.31075
litecoin,2025-11-18,85.255554
litecoin,2025-11-19,85.19986
litecoin,2025-11-20,85.202415
litecoin,2025-11-21,85.42999
litecoin,2025-11-22,85.772385
litecoin,2025-11-23,85.44255
litecoin,2025-11-24,84.47988
