unique_id,ds,yhat
litecoin,2025-10-26,87.21458
litecoin,2025-10-27,88.253876
litecoin,2025-10-28,88.232086
litecoin,2025-10-29,88.442986
litecoin,2025-10-30,88.56469
litecoin,2025-10-31,88.20398
litecoin,2025-11-01,87.76383
litecoin,2025-11-02,87.38909
litecoin,2025-11-03,87.0937
litecoin,2025-11-04,86.832756
litecoin,2025-11-05,86.595345
litecoin,2025-11-06,86.36473
litecoin,2025-11-07,86.22332
litecoin,2025-11-08,85.99889
litecoin,2025-11-09,85.897766
litecoin,2025-11-10,85.92053
litecoin,2025-11-11,85.90316
litecoin,2025-11-12,85.27239
litecoin,2025-11-13,85.2949
litecoin,2025-11-14,85.356834
litecoin,2025-11-15,85.7764
litecoin,2025-11-16,85.949356
litecoin,2025-11-17,85.97114
litecoin,2025-11-18,85.39686
litecoin,2025-11-19,85.60639
litecoin,2025-11-20,85.76301
litecoin,2025-11-21,85.78331
litecoin,2025-11-22,85.78772
litecoin,2025-11-23,85.75777
litecoin,2025-11-24,85.86473
