unique_id,ds,yhat
bitcoin,2025-10-25,111258.945
bitcoin,2025-10-26,110460.95
bitcoin,2025-10-27,109793.52
bitcoin,2025-10-28,108928.88
bitcoin,2025-10-29,109148.88
bitcoin,2025-10-30,109382.97
bitcoin,2025-10-31,109298.37
bitcoin,2025-11-01,109085.94
bitcoin,2025-11-02,109107.5
bitcoin,2025-11-03,109123.39
bitcoin,2025-11-04,109383.71
bitcoin,2025-11-05,110090.23
bitcoin,2025-11-06,111782.914
bitcoin,2025-11-07,114442.72
bitcoin,2025-11-08,116852.11
bitcoin,2025-11-09,116997.58
bitcoin,2025-11-10,118264.46
bitcoin,2025-11-11,118591.84
bitcoin,2025-11-12,118241.53
bitcoin,2025-11-13,118600.555
bitcoin,2025-11-14,118551.73
bitcoin,2025-11-15,117701.31
bitcoin,2025-11-16,117304.19
bitcoin,2025-11-17,116966.06
bitcoin,2025-11-18,117609.836
bitcoin,2025-11-19,118284.41
bitcoin,2025-11-20,118101.26
bitcoin,2025-11-21,117338.086
bitcoin,2025-11-22,117804.38
bitcoin,2025-11-23,118408.055
