unique_id,ds,yhat
bitcoin,2025-10-25,115739.95
bitcoin,2025-10-26,116319.914
bitcoin,2025-10-27,116645.85
bitcoin,2025-10-28,117500.53
bitcoin,2025-10-29,117828.016
bitcoin,2025-10-30,117131.53
bitcoin,2025-10-31,116984.35
bitcoin,2025-11-01,117094.8
bitcoin,2025-11-02,117047.6
bitcoin,2025-11-03,116009.164
bitcoin,2025-11-04,115297.05
bitcoin,2025-11-05,115563.02
bitcoin,2025-11-06,116131.14
bitcoin,2025-11-07,115446.16
bitcoin,2025-11-08,116243.39
bitcoin,2025-11-09,116247.89
bitcoin,2025-11-10,116277.01
bitcoin,2025-11-11,116500.91
bitcoin,2025-11-12,116241.95
bitcoin,2025-11-13,116383.484
bitcoin,2025-11-14,116038.17
bitcoin,2025-11-15,115309.83
bitcoin,2025-11-16,114653.85
bitcoin,2025-11-17,113642.66
bitcoin,2025-11-18,113469.805
bitcoin,2025-11-19,113943.49
bitcoin,2025-11-20,114182.18
bitcoin,2025-11-21,114736.945
bitcoin,2025-11-22,115873.68
bitcoin,2025-11-23,117142.58
